Country,Total Cases,New Cases,Total death,New Death,Total Recovered
USA,"105,972,038",,"1,151,642                                ",,"103,587,178"
India,"44,695,420",,"530,802                                ",,"44,158,703"
France,"39,703,279",,"165,314                                ",,"39,451,266"
Germany,"38,297,037",,"169,661                                ",,"37,936,100"
Brazil,"37,145,514",,"699,634                                ",,"36,249,161"
Japan,"33,374,303",,"73,511                                ",,"21,709,584"
S. Korea,"30,702,960","+3,930","34,171                                ",+9,"30,499,411"
Italy,"25,651,205",,"188,750                                ",,"25,320,467"
UK,"24,423,396",,"208,458                                ",,"24,158,042"
Russia,"22,506,199",,"396,834                                ",,"21,851,580"
Turkey,"17,042,722",,"101,492                                ",,N/A
Spain,"13,783,163",,"119,872                                ",,"13,632,061"
Vietnam,"11,527,139",,"43,186                                ",,"10,614,857"
Australia,"11,277,613",,"19,690                                ",,"11,237,319"
Taiwan,"10,231,343",,"18,775                                ",,"10,014,332"
Argentina,"10,044,957",,"130,472                                ",,"9,912,836"
Netherlands,"8,605,996",,"22,992                                ",,"8,566,733"
Iran,"7,575,927",,"144,993                                ",,"7,340,279"
Mexico,"7,510,926",,"333,324                                ",,"6,742,884"
Indonesia,"6,741,354",,"160,971                                ",,"6,576,542"
Poland,"6,473,008",,"119,136                                ",,"5,335,940"
Colombia,"6,361,293",,"142,652                                ",,"6,184,855"
Austria,"6,001,671",,"22,043                                ",,"5,935,352"
Greece,"5,910,103",,"36,372                                ",,"5,860,416"
Portugal,"5,571,882",,"26,302                                ",,"5,540,406"
Ukraine,"5,427,360",,"111,457                                ",,"5,277,982"
Chile,"5,231,041",,"64,392                                ",,"5,155,707"
Malaysia,"5,045,192",,"36,967                                ",,"4,998,845"
Israel,"4,808,869",,"12,363                                ",,"4,781,252"
DPRK,"4,772,813",,74                                ,,"4,772,739"
Belgium,"4,757,448",,"33,885                                ",,"4,675,728"
Thailand,"4,728,304",,"33,924                                ",,"4,692,636"
Czechia,"4,626,025",,"42,559                                ",,"4,574,900"
Canada,"4,609,277",,"51,624                                ",,"4,528,609"
Peru,"4,489,377",,"219,648                                ",,"4,267,184"
Switzerland,"4,394,296",,"14,452                                ",,"4,373,995"
Philippines,"4,078,994",,"66,272                                ",,"4,003,432"
South Africa,"4,069,578",,"102,595                                ",,"3,912,506"
Romania,"3,352,356",,"67,773                                ",,"3,272,569"
Denmark,"3,176,785",,"8,337                                ",,"3,167,172"
Hong Kong,"2,884,258",,"13,472                                ",,"2,867,312"
Sweden,"2,700,231",,"23,785                                ",,"2,673,636"
Serbia,"2,508,050",,"17,927                                ",,"2,474,636"
Iraq,"2,465,545",,"25,375                                ",,"2,439,497"
New Zealand,"2,239,800",,"3,944                                ",,"2,225,733"
Singapore,"2,234,996",,"1,722                                ",,"2,149,583"
Hungary,"2,197,820",,"48,775                                ",,"2,144,382"
Bangladesh,"2,037,947",,"29,445                                ",,"1,998,448"
Slovakia,"1,864,631",,"21,063                                ",,"1,842,335"
Georgia,"1,830,021",,"16,986                                ",,"1,776,548"
Jordan,"1,746,997",,"14,122                                ",,"1,731,007"
Ireland,"1,705,295",,"8,719                                ",,"1,694,300"
Pakistan,"1,578,359",+100,"30,645                                ",,"1,538,689"
Norway,"1,480,053",,"5,213                                ",,"1,473,995"
Finland,"1,464,294",,"8,990                                ",,"1,453,404"
Kazakhstan,"1,408,973",,"13,847                                ",,"1,383,020"
Slovenia,"1,335,609",,"7,086                                ",,"1,322,714"
Lithuania,"1,310,804",,"9,613                                ",,"1,294,548"
Bulgaria,"1,298,408",,"38,236                                ",,"1,257,235"
Morocco,"1,272,526",,"16,296                                ",,"1,256,151"
Croatia,"1,269,687",,"18,006                                ",,"1,251,200"
Guatemala,"1,241,016",,"20,183                                ",,"1,219,842"
Lebanon,"1,233,708",,"10,855                                ",,"1,087,587"
Costa Rica,"1,214,651",,"9,266                                ",,"860,711"
Bolivia,"1,195,064",,"22,368                                ",,"1,162,353"
Tunisia,"1,151,333",,"29,345                                ",,N/A
Cuba,"1,112,714",,"8,530                                ",,"1,104,094"
Ecuador,"1,057,608",,"36,015                                ",,"1,021,106"
UAE,"1,055,127",,"2,349                                ",,"1,036,898"
Uruguay,"1,035,046",,"7,619                                ",,"1,026,854"
Panama,"1,032,237",,"8,611                                ",,"1,022,929"
Mongolia,"1,007,907",,"2,179                                ",,"1,005,718"
Nepal,"1,001,182",,"12,020                                ",,"989,145"
Belarus,"994,037",,"7,118                                ",,"985,592"
Latvia,"976,450",,"6,260                                ",,"969,827"
Saudi Arabia,"831,311",,"9,624                                ",,"817,862"
Azerbaijan,"829,265",,"10,153                                ",,"818,791"
Paraguay,"808,643",,"19,881                                ",,N/A
Bahrain,"714,400",,"1,557                                ",,"709,917"
Sri Lanka,"672,052",,"16,831                                ",,"655,210"
Kuwait,"664,402",,"2,570                                ",,"660,237"
Dominican Republic,"660,848",,"4,384                                ",,"644,785"
Cyprus,"653,667",,"1,341                                ",,"647,752"
Myanmar,"633,992",,"19,490                                ",,"614,473"
Palestine,"621,008",,"5,404                                ",,"615,445"
Estonia,"615,735",,"2,949                                ",,"524,990"
Moldova,"613,974",,"12,025                                ",,"504,142"
Venezuela,"552,267",,"5,854                                ",,"546,129"
Egypt,"515,792",,"24,613                                ",,"442,182"
Libya,"507,201",,"6,437                                ",,"500,750"
Ethiopia,"500,272",,"7,572                                ",,"487,429"
Qatar,"495,856",,688                                ,,"494,555"
Réunion,"486,588",,921                                ,,"418,572"
Honduras,"472,340",,"11,111                                ",,N/A
Armenia,"447,778",,"8,733                                ",,"435,162"
Bosnia and Herzegovina,"401,914",,"16,289                                ",,"379,084"
Oman,"399,449",,"4,628                                ",,"384,669"
North Macedonia,"347,182",,"9,664                                ",,"337,068"
Zambia,"343,415",,"4,057                                ",,"339,164"
Kenya,"342,943",,"5,688                                ",,"337,225"
Albania,"334,559",,"3,600                                ",,"329,281"
Botswana,"329,769",,"2,801                                ",,"326,962"
Luxembourg,"297,757",,"1,133                                ",,"288,991"
Montenegro,"289,300",,"2,808                                ",,"285,867"
Brunei ,"280,790",,225                                ,,"243,601"
Algeria,"271,549",,"6,881                                ",,"182,893"
Nigeria,"266,641",,"3,155                                ",,"259,938"
Zimbabwe,"264,391",,"5,672                                ",,"258,184"
